Date,DOW,Month,Title,Receipts,Zinz,Composer,Author
1789-12-31,Thu,Dec,La cifra,9914,FALSE,Salieri,Da Ponte
1790-01-02,Sat,Jan,Una cosa rara,13690,TRUE,Martín y Soler,Da Ponte
1790-01-06,Wed,Jan,Il falegname,6624,FALSE,Cimarosa,Da Ponte
1790-01-08,Fri,Jan,Le nozze di Figaro,12281,FALSE,Mozart,Da Ponte
1790-01-10,Sun,Jan,L'arbore di Diana,18537,FALSE,Martín y Soler,Da Ponte
1790-01-12,Tue,Jan,Il burbero di buon cuore,8534,FALSE,Martín y Soler,Da Ponte
1790-01-14,Thu,Jan,Il falegname,2872,FALSE,Cimarosa,Da Ponte
1790-01-16,Sat,Jan,Una cosa rara,12100,FALSE,Martín y Soler,Da Ponte
1790-01-20,Wed,Jan,Il burbero di buon cuore,5931,FALSE,Martín y Soler,Da Ponte
1790-01-22,Fri,Jan,La cifra,12665,TRUE,Salieri,Da Ponte
1790-01-24,Sun,Jan,Una cosa rara,11566,FALSE,Martín y Soler,Da Ponte
1790-01-26,Tue,Jan,Così fan tutte,33199,TRUE,Mozart,Da Ponte
1790-01-28,Thu,Jan,Così fan tutte,18311,TRUE,Mozart,Da Ponte
1790-01-30,Sat,Jan,Così fan tutte,13425,TRUE,Mozart,Da Ponte
1790-02-01,Mon,Feb,Le nozze di Figaro,10881,TRUE,Mozart,Da Ponte
1790-02-03,Wed,Feb,Una cosa rara,7350,TRUE,Martín y Soler,Da Ponte
1790-02-05,Fri,Feb,La cifra,15219,FALSE,Salieri,Da Ponte
1790-02-07,Sun,Feb,Così fan tutte,20586,TRUE,Mozart,Da Ponte
1790-02-09,Tue,Feb,Una cosa rara,11543,FALSE,Martín y Soler,Da Ponte
1790-02-11,Thu,Feb,Così fan tutte,14043,TRUE,Mozart,Da Ponte
1790-04-13,Tue,Apr,Nina,32162,TRUE,Paisiello,Da Ponte
1790-04-15,Thu,Apr,Nina,10244,TRUE,Paisiello,Da Ponte
1790-04-17,Sat,Apr,L'arbore di Diana,18701,TRUE,Martín y Soler,Da Ponte
1790-04-19,Mon,Apr,Il re Teodoro in Venezia,36191,TRUE,Paisiello,Casti
1790-04-21,Wed,Apr,Il re Teodoro in Venezia,18716,TRUE,Paisiello,Casti
1790-04-23,Fri,Apr,Nina,4531,FALSE,Paisiello,Da Ponte
1790-04-25,Sun,Apr,L'arbore di Diana,17040,FALSE,Martín y Soler,Da Ponte
1790-04-27,Tue,Apr,La cifra,8445,TRUE,Salieri,Da Ponte
1790-04-29,Thu,Apr,Il re Teodoro in Venezia,14601,TRUE,Paisiello,Casti
1790-05-01,Sat,May,Le nozze di Figaro,9443,TRUE,Mozart,Da Ponte
1790-05-03,Mon,May,L'arbore di Diana,8151,TRUE,Martín y Soler,Da Ponte
1790-05-05,Wed,May,Il re Teodoro in Venezia,12173,TRUE,Paisiello,Casti
1790-05-07,Fri,May,Le nozze di Figaro,8521,TRUE,Mozart,Da Ponte
1790-05-09,Sun,May,Le nozze di Figaro,12691,FALSE,Mozart,Da Ponte
1790-05-11,Tue,May,La cifra,7335,TRUE,Salieri,Da Ponte
1790-05-13,Thu,May,Il re Teodoro in Venezia,13289,FALSE,Paisiello,Casti
1790-05-15,Sat,May,L'arbore di Diana,7481,TRUE,Martín y Soler,Da Ponte
1790-05-17,Mon,May,La cifra,6662,FALSE,Salieri,Da Ponte
1790-05-19,Wed,May,Le nozze di Figaro,4129,FALSE,Mozart,Da Ponte
1790-05-21,Fri,May,Il re Teodoro in Venezia,9026,FALSE,Paisiello,Casti
1790-05-24,Mon,May,La pastorella nobile,21373,TRUE,Guglielmi,Zini
1790-05-26,Wed,May,La pastorella nobile,21941,TRUE,Guglielmi,Zini
1790-05-28,Fri,May,La pastorella nobile,18945,FALSE,Guglielmi,Zini
1790-05-30,Sun,May,Le nozze di Figaro,4236,FALSE,Mozart,Da Ponte
1790-06-01,Tue,Jun,Il re Teodoro in Venezia,7597,TRUE,Paisiello,Casti
1790-06-04,Fri,Jun,L'arbore di Diana,10934,FALSE,Martín y Soler,Da Ponte
1790-06-06,Sun,Jun,Così fan tutte,7989,TRUE,Mozart,Da Ponte
1790-06-08,Tue,Jun,La cifra,5569,TRUE,Salieri,Da Ponte
1790-06-10,Thu,Jun,La pastorella nobile,18410,TRUE,Guglielmi,Zini
1790-06-12,Sat,Jun,Così fan tutte,4560,FALSE,Mozart,Da Ponte
1790-06-14,Mon,Jun,Il re Teodoro in Venezia,6728,TRUE,Paisiello,Casti
1790-06-16,Wed,Jun,Una cosa rara,14247,TRUE,Martín y Soler,Da Ponte
1790-06-18,Fri,Jun,L'arbore di Diana,8164,FALSE,Martín y Soler,Da Ponte
1790-06-20,Sun,Jun,La pastorella nobile,11030,TRUE,Guglielmi,Zini
1790-06-22,Tue,Jun,Le nozze di Figaro,5648,FALSE,Mozart,Da Ponte
1790-06-24,Thu,Jun,La cifra,4657,FALSE,Salieri,Da Ponte
1790-06-26,Sat,Jun,Le nozze di Figaro,8644,FALSE,Mozart,Da Ponte
1790-06-28,Mon,Jun,Una cosa rara,9159,FALSE,Martín y Soler,Da Ponte
1790-06-30,Wed,Jun,Il re Teodoro in Venezia,6639,TRUE,Paisiello,Casti
1790-07-02,Fri,Jul,L'arbore di Diana,9244,TRUE,Martín y Soler,Da Ponte
1790-07-04,Sun,Jul,La pastorella nobile,27794,TRUE,Guglielmi,Zini
1790-07-06,Tue,Jul,Così fan tutte,8489,TRUE,Mozart,Da Ponte
1790-07-08,Thu,Jul,La pastorella nobile,14734,FALSE,Guglielmi,Zini
1790-07-10,Sat,Jul,Una cosa rara,8095,FALSE,Martín y Soler,Da Ponte
